accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,macro_f1_mean,macro_f1_std,task,target_model,feature_set,estimator,n_features,n_rows
0.5725,0.021505813167606573,0.5701488987203274,0.01447487065586284,0.585,0.08154753215150046,0.5751073654389992,0.04353187601821282,0.6116875,0.02034142171776599,0.1466464899233156,0.04501877186437942,0.5707083595442427,0.020077398681019726,binary,mistral-7b-instruct-v0.3,lexical,random_forest,5,400
0.7625,0.03061862178478973,0.7626544868076965,0.05636034480119314,0.775,0.0724568837309472,0.7647649614086396,0.030700218374632337,0.835625,0.021516708623764952,0.5310943617053873,0.06356924566084851,0.7612455153037712,0.030303934749109633,binary,mistral-7b-instruct-v0.3,syntactic,logreg,68,400
0.7675000000000001,0.03409545424246461,0.775149292540597,0.04739195477314484,0.76,0.06442049363362563,0.7650566766563753,0.0360950400667924,0.8309375000000001,0.030056587256373574,0.5384076189462765,0.06875645893934391,0.7667852327221822,0.03409033795297683,binary,mistral-7b-instruct-v0.3,syntactic,random_forest,68,400
0.7775000000000001,0.03391164991562635,0.7851954073821619,0.05646196823599754,0.775,0.07905694150420947,0.7758601750814641,0.03768550427285414,0.8481249999999999,0.027243118397129194,0.5610548346059736,0.068681669546466,0.7763305882449414,0.03389691035985002,binary,mistral-7b-instruct-v0.3,combined,logreg,73,400
0.7725,0.020000000000000018,0.7782754182754184,0.04543201314610627,0.77,0.04582575694955839,0.7718869365928189,0.017477281992605165,0.8391249999999999,0.030177469865779023,0.5482413909917477,0.040867113068449035,0.771846610276093,0.01996083293329376,binary,mistral-7b-instruct-v0.3,combined,random_forest,73,400
0.5425000000000001,0.05220153254455275,0.5494869526758072,0.05772858038656992,0.5650000000000001,0.08888194417315588,0.5510565049101634,0.040402800837262186,0.5630000000000001,0.022151467220028573,0.08411478861115526,0.1073247792638704,0.5345808152315776,0.06168882737020975,binary,mistral-7b-instruct-v0.3,writeprints,logreg,14,400
0.5475000000000001,0.03657184709581948,0.5557649538669162,0.04334454477110359,0.53,0.06204836822995428,0.5382952323027229,0.02860378240497246,0.5689375,0.02593079732673099,0.09643615943367564,0.0745965358954622,0.5440403185114248,0.03736864754956846,binary,mistral-7b-instruct-v0.3,writeprints,random_forest,14,400
0.6199999999999999,0.03840572873934303,0.6040256956009479,0.04087076844675113,0.7100000000000001,0.09027735042633894,0.6494354176187972,0.0441458823151148,0.690125,0.03704178383933473,0.2483836361148891,0.0810458603227683,0.6145463451196941,0.03698749507072589,binary,mistral-7b-instruct-v0.3,stylometrix,logreg,3,400
0.55,0.011180339887498959,0.5506103948192272,0.012819533944340275,0.555,0.07968688725254616,0.5495211075962724,0.03654686140969104,0.6115,0.013443167409505808,0.10120463492520589,0.022313877576207793,0.5471441206825659,0.012121701704111665,binary,mistral-7b-instruct-v0.3,stylometrix,random_forest,3,400
0.55,0.04541475531146238,0.55380746809979,0.05053569634702444,0.5650000000000001,0.03391164991562633,0.5572894536103593,0.027221326583574096,0.573875,0.04096759390054535,0.10051063685707266,0.0913452145835003,0.5480843894358174,0.046401844122490876,binary,mistral-7b-instruct-v0.3,stanza,logreg,4,400
0.5,0.038729833462074155,0.5043325979040264,0.03692851683998733,0.49000000000000005,0.03391164991562636,0.4951058417238192,0.01649686533266198,0.517375,0.04460705171270565,-0.000457428745463484,0.07869329823552566,0.4976825612128743,0.040499713562047866,binary,mistral-7b-instruct-v0.3,stanza,random_forest,4,400
0.675,0.03162277660168377,0.6660928613869791,0.03279272464928951,0.71,0.09027735042633891,0.6836650083251017,0.04480689199506391,0.765875,0.027193174695132574,0.3551266483766706,0.059908603182053655,0.672176362670424,0.03407499534123751,binary,qwen-2.5-7b-instruct,lexical,logreg,5,400
0.6575,0.02806243040080453,0.6523389377047913,0.029484367621160832,0.6799999999999999,0.07810249675906657,0.6632778321007377,0.03881378602353992,0.7091874999999999,0.043901345366628555,0.31832828644530076,0.05561033469785459,0.6556364814307403,0.02875527747622582,binary,qwen-2.5-7b-instruct,lexical,random_forest,5,400
0.7424999999999999,0.020310096011589878,0.7402568198105303,0.04030015376518688,0.755,0.05787918451395111,0.7450378967128778,0.022387631917361404,0.8057500000000001,0.02761736319781455,0.4885559419699195,0.043824380073738206,0.741692392739608,0.019625437609225336,binary,qwen-2.5-7b-instruct,syntactic,logreg,68,400
0.7500000000000001,0.02622022120425379,0.7739135194307608,0.06367447655849992,0.72,0.06595452979136461,0.7416209602666763,0.02726384498040819,0.8499375,0.03391360807257169,0.5064072874496884,0.058288599012703037,0.748671285994144,0.025408534675646365,binary,qwen-2.5-7b-instruct,syntactic,random_forest,68,400
0.7475,0.02999999999999997,0.7516352339871428,0.04325370893386153,0.75,0.10488088481701517,0.745269360712386,0.04375206510152458,0.8488749999999999,0.028655824015372505,0.5038052088112195,0.06342396616409803,0.7454535217429551,0.029799690358659873,binary,qwen-2.5-7b-instruct,combined,logreg,73,400
0.7925000000000001,0.026925824035672508,0.8155555555555555,0.02884612219054928,0.76,0.08306623862918075,0.7833524988942946,0.04030266424847603,0.8640625,0.02097152086759567,0.5904767892308178,0.05000220537859888,0.7913587891296869,0.028051396184968665,binary,qwen-2.5-7b-instruct,combined,random_forest,73,400
0.6599999999999999,0.03824264635194589,0.6634990131136883,0.05728909807204556,0.675,0.10839741694339398,0.6618397675131107,0.04783665687467009,0.7146250000000001,0.03938511774769754,0.3278641168428774,0.07967590821941269,0.6561486221441557,0.038316971901415274,binary,qwen-2.5-7b-instruct,writeprints,logreg,14,400
